Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,hour,day_of_week,day_of_month,month,quarter,year,week_of_year,is_weekend,season
2006-12-16 17:00:00,3.9638,0.229,234.6439,18.1,0.0,0.5278,16.8611,17,5,16,12,4,2006,50,1,0
2006-12-16 18:00:00,3.5065,0.08,234.5802,15.6,0.0,6.7167,16.8667,18,5,16,12,4,2006,50,1,0
2006-12-16 19:00:00,3.4002,0.0852,233.2325,14.5033,0.0,1.4333,16.6833,19,5,16,12,4,2006,50,1,0
2006-12-16 20:00:00,3.2686,0.0751,234.0715,13.9167,0.0,0.0,16.7833,20,5,16,12,4,2006,50,1,0
2006-12-16 21:00:00,3.0565,0.0767,237.1587,13.0467,0.0,0.4167,17.2167,21,5,16,12,4,2006,50,1,0
2006-12-16 22:00:00,2.2001,0.0562,238.76,9.5233,0.0,0.1333,4.4333,22,5,16,12,4,2006,50,1,0
2006-12-16 23:00:00,2.0616,0.0714,240.6197,8.8967,0.0,0.0833,0.0,23,5,16,12,4,2006,50,1,0
2006-12-17 00:00:00,1.8825,0.1024,240.9618,8.1267,0.0,0.4667,0.0,0,6,17,12,4,2006,50,1,0
2006-12-17 01:00:00,3.3161,0.1369,240.4483,14.2467,0.0,25.2333,0.0,1,6,17,12,4,2006,50,1,0
2006-12-17 02:00:00,1.5873,0.0782,245.8187,6.87,0.0,0.5667,0.0,2,6,17,12,4,2006,50,1,0
2006-12-17 03:00:00,1.6622,0.0795,244.5135,7.2067,0.0,0.7667,0.0,3,6,17,12,4,2006,50,1,0
2006-12-17 04:00:00,2.2158,0.0935,243.8555,9.3333,0.0,0.5667,8.8833,4,6,17,12,4,2006,50,1,0
2006-12-17 05:00:00,1.9967,0.0602,243.7102,8.5667,0.0,0.1667,4.65,5,6,17,12,4,2006,50,1,0
2006-12-17 06:00:00,1.3033,0.0948,244.1415,5.53,0.0,0.7167,0.0,6,6,17,12,4,2006,50,1,0
2006-12-17 07:00:00,1.62,0.0598,241.8457,6.8033,0.0,0.1667,0.0,7,6,17,12,4,2006,50,1,0
2006-12-17 08:00:00,1.8906,0.1186,241.3115,8.05,0.0,0.75,0.0,8,6,17,12,4,2006,50,1,0
2006-12-17 09:00:00,2.3902,0.0792,238.8478,10.9733,0.0,7.3167,0.0,9,6,17,12,4,2006,50,1,0
2006-12-17 10:00:00,3.4108,0.1946,235.441,15.5333,8.8833,22.35,16.15,10,6,17,12,4,2006,50,1,0
2006-12-17 11:00:00,2.471,0.2007,236.9247,10.4933,9.45,5.0167,17.1833,11,6,17,12,4,2006,50,1,0
2006-12-17 12:00:00,1.9159,0.294,237.7847,8.1367,0.0,0.5333,17.3167,12,6,17,12,4,2006,50,1,0
2006-12-17 13:00:00,1.6608,0.1715,239.9207,6.9233,0.0,0.05,17.6167,13,6,17,12,4,2006,50,1,0
2006-12-17 14:00:00,2.0926,0.2574,244.0457,8.6,0.0,0.3333,18.2333,14,6,17,12,4,2006,50,1,0
2006-12-17 15:00:00,2.9616,0.0886,240.4808,12.4267,6.9667,0.2,17.7,15,6,17,12,4,2006,50,1,0
2006-12-17 16:00:00,3.3235,0.0931,236.7818,14.0067,8.5833,0.0667,17.1667,16,6,17,12,4,2006,50,1,0
2006-12-17 17:00:00,3.4068,0.1666,234.2298,14.51,0.0,0.4667,16.8167,17,6,17,12,4,2006,50,1,0
2006-12-17 18:00:00,3.6511,0.1351,234.3723,15.75,0.0,0.0,16.8333,18,6,17,12,4,2006,50,1,0
2006-12-17 19:00:00,2.9084,0.2652,233.1957,12.5167,0.0,0.5167,16.6833,19,6,17,12,4,2006,50,1,0
2006-12-17 20:00:00,3.3615,0.2715,236.4265,14.2767,0.0,1.1167,17.1167,20,6,17,12,4,2006,50,1,0
2006-12-17 21:00:00,3.0408,0.268,239.1042,12.7167,0.0,1.2,17.5,21,6,17,12,4,2006,50,1,0
2006-12-17 22:00:00,1.518,0.2354,242.1923,6.3833,0.0,0.4167,2.5,22,6,17,12,4,2006,50,1,0
2006-12-17 23:00:00,0.4377,0.2218,245.734,1.9967,0.0,0.8,0.0,23,6,17,12,4,2006,50,1,0
2006-12-18 00:00:00,0.2764,0.0991,244.6075,1.2233,0.0,0.0333,0.0,0,0,18,12,4,2006,51,0,0
2006-12-18 01:00:00,0.3133,0.1519,243.5193,1.4167,0.0,0.5833,0.0,1,0,18,12,4,2006,51,0,0
2006-12-18 02:00:00,0.2845,0.1091,246.891,1.2567,0.0,0.0,0.0,2,0,18,12,4,2006,51,0,0
2006-12-18 03:00:00,0.3099,0.1478,245.7318,1.4,0.0,0.5667,0.0,3,0,18,12,4,2006,51,0,0
2006-12-18 04:00:00,1.0263,0.08,245.507,4.1767,0.0,0.0667,12.55,4,0,18,12,4,2006,51,0,0
2006-12-18 05:00:00,0.2935,0.1219,245.2532,1.2933,0.0,0.4667,0.0,5,0,18,12,4,2006,51,0,0
2006-12-18 06:00:00,0.61,0.1129,245.7043,2.6,0.0,0.0833,0.0,6,0,18,12,4,2006,51,0,0
2006-12-18 07:00:00,2.4452,0.153,240.9623,10.22,0.0833,0.45,11.3,7,0,18,12,4,2006,51,0,0
2006-12-18 08:00:00,2.0821,0.0737,237.8803,8.7267,12.4667,0.0333,17.35,8,0,18,12,4,2006,51,0,0
2006-12-18 09:00:00,1.6293,0.0852,237.4047,6.8167,5.1667,0.4833,17.2667,9,0,18,12,4,2006,51,0,0
2006-12-18 10:00:00,1.3096,0.0528,239.0805,5.4267,0.0,0.0,17.5,10,0,18,12,4,2006,51,0,0
2006-12-18 11:00:00,1.5619,0.1273,239.771,6.47,0.0,0.5167,17.6,11,0,18,12,4,2006,51,0,0
2006-12-18 12:00:00,1.7561,0.0873,242.58,7.2467,0.0,0.0,18.0167,12,0,18,12,4,2006,51,0,0
2006-12-18 13:00:00,1.6821,0.1265,241.9542,6.94,0.0,0.5333,17.3667,13,0,18,12,4,2006,51,0,0
2006-12-18 14:00:00,1.733,0.0493,242.1965,7.0967,0.0,0.0,17.3833,14,0,18,12,4,2006,51,0,0
2006-12-18 15:00:00,1.7843,0.1041,242.4235,7.31,0.0,0.5167,17.9833,15,0,18,12,4,2006,51,0,0
2006-12-18 16:00:00,1.9493,0.2044,242.3807,8.0967,0.0,0.0,17.9833,16,0,18,12,4,2006,51,0,0
2006-12-18 17:00:00,2.1549,0.0978,238.7292,8.9933,0.0,0.3333,17.45,17,0,18,12,4,2006,51,0,0
2006-12-18 18:00:00,2.4025,0.0791,236.6685,10.0833,0.0,0.25,16.9167,18,0,18,12,4,2006,51,0,0
2006-12-18 19:00:00,2.5826,0.2008,235.3292,11.19,0.0,9.1,0.0,19,0,18,12,4,2006,51,0,0
2006-12-18 20:00:00,3.0506,0.1204,234.5243,13.0467,0.0,0.5,13.25,20,0,18,12,4,2006,51,0,0
2006-12-18 21:00:00,2.1697,0.0717,237.5908,9.24,0.0,0.0,3.7167,21,0,18,12,4,2006,51,0,0
2006-12-18 22:00:00,1.7388,0.108,240.2115,7.25,0.0,8.85,0.0,22,0,18,12,4,2006,51,0,0
2006-12-18 23:00:00,1.5473,0.1325,242.6593,6.6,0.0,20.3167,0.0,23,0,18,12,4,2006,51,0,0
2006-12-19 00:00:00,0.8371,0.0928,242.0712,3.5433,0.0,0.9667,8.15,0,1,19,12,4,2006,51,0,0
2006-12-19 01:00:00,0.353,0.0759,241.8083,1.57,0.0,0.25,0.7333,1,1,19,12,4,2006,51,0,0
2006-12-19 02:00:00,0.3272,0.1057,245.7795,1.4633,0.0,0.6333,0.0,2,1,19,12,4,2006,51,0,0
2006-12-19 03:00:00,0.3083,0.073,244.4632,1.3633,0.0,0.1667,0.0,3,1,19,12,4,2006,51,0,0
2006-12-19 04:00:00,0.3278,0.1025,244.1865,1.5,0.0,0.7167,0.0,4,1,19,12,4,2006,51,0,0
